,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
0.0,1.3325358736821287,0.0,161.2204724409449,95343.03351507435,189.81931218001162,7.303974651095998e-08,5.385759086161695,0.004622721519227215,340867.3443470572,1000.0,8293750863.682886,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
0.125,1.3299347786042501,0.003345157321606858,161.2204724409449,368741236822.61993,734130280.5832161,0.030620607187784744,2257883.156270996,41.27779725751908,3043716363.433225,31698261801968.645,2.6289748619732366e+20,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
0.25,1.3240900740599126,0.006690314643213716,161.2204724409449,402873980899.142,802085471.0628372,0.03564361697695321,2628266.7063813983,73.62975421337197,5429264704.622377,171236607588576.8,1.4201937620818862e+21,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
0.375,1.3174984010099189,0.010035471964820573,161.2204724409449,434143631433.1002,864340502.580445,0.03976506236157606,2932171.2650455073,102.97164026371455,7592858322.475922,405125445476507.6,3.360009513320699e+21,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
0.5,1.3144413049947172,0.013380629286427432,161.2204724409449,460464397395.69,916742754.8150555,0.04302228129174251,3172350.0346436393,129.85550568679113,9575203954.682579,702426240474399.9,5.825748238608076e+21,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
0.6666666666666666,1.3083807715512925,0.01784083904856991,161.2204724409449,492549492457.43256,980621262.2561611,0.04659841228128434,3436044.54195329,162.8677392745651,12009439360.64975,1158887658054511.2,9.611525514901039e+21,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
0.8333333333333334,1.305528046973719,0.022301048810712387,161.2204724409449,521228261029.3917,1037718083.3221525,0.049502323723130015,3650171.3452409003,193.39414249760767,14260376163.96501,1654564465672811.0,1.3722545466192888e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
1.0,1.3038697547759799,0.026761258572854864,161.2204724409449,548188955785.3978,1091394375.60911,0.05200593080615241,3834780.7564132586,222.06841956641244,16374742048.836473,2171357384692245.2,1.8008697184655524e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
1.25,1.300392941297923,0.03345157321606858,161.2204724409449,581666495228.6594,1158045113.2279675,0.054937412115302744,4050940.489310202,262.1665621031907,19331473771.245373,2966347652175311.5,2.460214840221269e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
1.5,1.300195543708744,0.04014188785928229,161.2204724409449,612424416461.5206,1219281338.2279365,0.05745785911147236,4236791.631452003,299.61396629966384,22092747009.975212,3772414307984461.5,3.1287464425015808e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
1.75,1.2974498502536465,0.04683220250249601,161.2204724409449,639477772979.8635,1273142111.6599102,0.05959695509066999,4394522.951130211,334.80609119918824,24687721876.30378,4583299979546063.0,3.801274816387792e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2.0,1.2980223447968693,0.05352251714570973,161.2204724409449,664873122868.8126,1323701944.620636,0.06156144726428892,4539379.444740497,368.1226416158612,27144396806.018047,5396514894695358.0,4.475735006875718e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2.5,1.2956602115368303,0.06690314643213716,161.2204724409449,710620506181.0378,1414780825.942248,0.06506049169260394,4797389.791474836,429.89610820743167,31699409999.13385,7027091626483919.0,5.828094724632977e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
3.0,1.2953924659138794,0.08028377571856458,161.2204724409449,751640631811.8253,1496448166.970816,0.0681984334349473,5028773.374496114,486.15558731642636,35847836236.46376,8661655854497563.0,7.183761572416309e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
4.0,1.293841989554107,0.10704503429141946,161.2204724409449,818194981447.2607,1628951826.6995466,0.07338479618181097,5411202.142699192,584.5838519459293,43105677971.770546,1.1941492552731794e+16,9.903976417288206e+22,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
7.0,1.293041366678325,0.18732881000998405,161.2204724409449,945725301072.594,1882853099.4081643,0.08403006040063447,6196155.968935673,800.5274586592343,59028792406.18597,2.186577921366387e+16,1.8134932523842403e+23,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
14.0,1.2865192823740375,0.3746576200199681,161.2204724409449,1076811185040.8354,2143833177.4903905,0.09712789887154356,7161956.179416848,1079.791959817588,79621023299.68073,4.550076196507399e+16,3.773719838460619e+23,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
21.0,1.2850967880092392,0.5619864300299522,161.2204724409449,1143076013663.1562,2275760427.2021017,0.10484562023147126,7731040.683734749,1233.4429428065696,90950843257.45412,6.975403017287285e+16,5.785225479916262e+23,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
28.0,1.2821009717748537,0.7493152400399362,161.2204724409449,1180677302369.0322,2350621174.716528,0.10975052305417149,8092715.336317696,1329.1331372962045,98006786891.53831,9.456032561673827e+16,7.84259782253958e+23,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
42.0,1.2771091477424323,1.1239728600599044,161.2204724409449,1234170567865.4463,2457121403.295752,0.11638924632207862,8582237.355062364,1444.1182553978088,106485487519.23236,1.455980263953827e+17,1.2075537571672288e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
56.0,1.2735590606853338,1.4986304800798724,161.2204724409449,1271235886831.0005,2530915083.781719,0.12062192551089113,8894344.002318235,1511.8805219586584,111482099093.92128,1.9822995620773872e+17,1.6440698705057538e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
70.0,1.269662796648403,1.8732881000998405,161.2204724409449,1300963852701.7537,2590100761.2880363,0.12371795558366122,9122637.12889623,1559.6660426673145,115005677893.65045,2.5217206620247942e+17,2.0914522918635118e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
84.0,1.26601947459301,2.2479457201198088,161.2204724409449,1321955915964.6855,2631894050.875147,0.12588457217031088,9282397.74589161,1595.6428116710827,117658510355.5445,3.072089550142235e+17,2.547914535980333e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
98.0,1.2623823771987106,2.6226033401397766,161.2204724409449,1343200945538.8127,2674190973.390909,0.1278945282813756,9430606.630848907,1627.009773017331,119971427707.33856,3.6318972662573766e+17,3.012205108882963e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
112.0,1.2587988491902862,2.997260960159745,161.2204724409449,1358420399564.9226,2704491522.7701635,0.12937977579699875,9540124.882000918,1652.8378999022175,121875925952.38573,4.1997933705778035e+17,3.4832039894519327e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
140.0,1.2504828169694484,3.746576200199681,161.2204724409449,1387481396695.381,2762349326.148077,0.132036532160609,9736027.118913595,1697.421624853827,125163412741.74686,5.356921069658031e+17,4.4428968748157343e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
168.0,1.2432826235720527,4.4958914402396175,161.2204724409449,1408833071388.7197,2804858569.4011784,0.1339864861214645,9879811.602895867,1733.3801217788746,127814897868.54326,6.538202919444468e+17,5.422622611007653e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
196.0,1.2342785700439505,5.245206680279553,161.2204724409449,1428342716780.5386,2843700499.772163,0.1356803952459252,10004716.013083374,1764.7738488309346,130129788853.19014,7.740792656368966e+17,6.420020577935026e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
224.0,1.2277208642121242,5.99452192031949,161.2204724409449,1443198708692.7173,2873277429.124592,0.13695552415860976,10098740.670281326,1791.4301180278644,132095352137.40817,8.962982420430156e+17,7.433674319061713e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
252.0,1.2199253823685385,6.743837160359425,161.2204724409449,1457228802562.379,2901210070.556009,0.1380934790883095,10182650.478228882,1815.5304271050343,133872445635.01768,1.0202694626531008e+18,8.461860737068428e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
280.0,1.2132833971882864,7.493152400399362,161.2204724409449,1468389611629.8823,2923430226.790402,0.13897962275343634,10247992.384849345,1837.0574411189787,135459791112.81357,1.1459384798429413e+18,9.504128256924849e+24,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
308.0,1.205227254355172,8.242467640439298,161.2204724409449,1478564817552.4858,2943688136.763585,0.13975972080240873,10305514.766238218,1856.8743138127584,136921035260.94077,1.2732262378442445e+18,1.0559821209784417e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
336.0,1.1977596933387378,8.991782880479235,161.2204724409449,1488862223844.864,2964189336.563865,0.14051790690958071,10361421.418585245,1875.8995765623106,138323908170.75626,1.402033375051899e+18,1.1628115515248918e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
365.0,1.191116048068641,9.767859379092025,161.2204724409449,1502592626165.7224,2991525319.366302,0.1414947927659808,10433454.416077372,1896.1621616827656,139818017982.66858,1.5369838294148928e+18,1.2747360962676396e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
396.0,1.1827758671331892,10.597458394850527,161.2204724409449,1512440035722.3367,3011130616.57447,0.1421906862878943,10484767.776784126,1914.9616388373624,141204242055.6843,1.6829300053612923e+18,1.3957802185483062e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
427.0,1.1731568871177958,11.427057410609025,161.2204724409449,1523920680172.9883,3033987535.9807677,0.14299357629468307,10543970.77728471,1934.0978856812826,142615298641.14508,1.8304931264499297e+18,1.5181653948459693e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
458.0,1.1686781249093385,12.256656426367528,161.2204724409449,1529454153977.4644,3045004179.282406,0.14337732343253975,10572267.283409497,1950.2591164099936,143806985351.44397,1.9797175259330616e+18,1.6419283940555477e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
488.0,1.1587636261675713,13.059494183553172,161.2204724409449,1540014582086.261,3066029031.608101,0.14411833138870023,10626907.264015269,1967.8163191363994,145101607370.6638,2.1255742402838487e+18,1.7628983191176263e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
519.0,1.1514654103559958,13.889093199311674,161.2204724409449,1553525885266.2021,3092928807.939075,0.1450521045701107,10695761.24607887,1986.6514300895722,146490458986.4028,2.2778138897296689e+18,1.8891620915254316e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
549.0,1.142171129387897,14.69193095649732,161.2204724409449,1560258375165.4976,3106332583.2840357,0.14552545493989094,10730664.859204078,2002.135034379369,147632179302.72116,2.4264719234243773e+18,2.0124553610603204e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
560.5117548184344,0.0,0.0,0.0,1566122647741.7358,3118007816.8676376,0.14597694316269677,10763956.415027136,2010.186997223007,148225909896.2419,2.483880335767942e+18,2.060068468006031e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
560.5517548184343,0.0,0.0,0.0,1232039630908.1606,2452878901.5353374,0.12005963771225503,8852882.37676224,1991.6979080308683,146862573016.41757,2.4840828900096276e+18,2.060236461447723e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
561.5517548184343,0.0,0.0,0.0,936682769849.6753,1864850241.7916265,0.08717494804503977,6428051.724533235,1759.307178573517,129726690945.31995,2.4861055342800927e+18,2.0619139922142326e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
568.5517548184343,0.0,0.0,0.0,456132295375.3785,908117933.5200717,0.04881930597183794,3599807.410044616,1080.1060489477975,79644183407.26184,2.4910541731041577e+18,2.0660182699663467e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
598.5517548184343,0.0,0.0,0.0,214297690234.62637,426647219.6489379,0.02112952487959932,1558035.672940152,514.6386997399679,37948106142.44208,2.5056616131429816e+18,2.078133316810166e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
628.5517548184343,0.0,0.0,0.0,149502408448.7148,297645704.0933504,0.01345769739827175,992335.2627008462,396.5513077293041,29240651984.079998,2.5135283948168274e+18,2.0846578295403525e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
928.5517548184343,0.0,0.0,0.0,28280259915.40638,56303426.55885451,0.0012691237098595718,93581.84931287752,177.57042832170424,13093577037.863039,2.522690522747837e+18,2.092256670184451e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
1293.5517548184343,0.0,0.0,0.0,15270457507.384937,30402092.673793647,0.0006294780211222202,46416.056102951596,121.56272999878054,8963716454.455536,2.522709243247882e+18,2.0922721965007924e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
1658.5517548184346,0.0,0.0,0.0,10656298361.698387,21215721.283744972,0.0005056889831835374,37288.177547877,96.760058447832,7134832592.617914,2.522709142057987e+18,2.0922721125764142e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2023.5517548184346,0.0,0.0,0.0,8348345572.512626,16620797.094366046,0.00043779158862401496,32281.60198944757,84.2894175267423,6215280282.274938,2.5227090307630653e+18,2.0922720202711787e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2388.5517548184343,0.0,0.0,0.0,7068736711.532578,14073212.180233045,0.0003942385434960885,29070.11482344895,77.40973485158209,5707990549.662114,2.522708919462758e+18,2.0922719279614773e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
