name,nuex
id,hlw
pkg_diameter,0.61
pkg_length,4.7
n_wf,1
5,13810
5.1,13580
5.5,12240
5.75,11540
6,10920
8,7922
10,6542
11.5,5922
15,5032
20,4269
23,3920
25,3713
30,3258
35,2871
40,2537
45,2246
50,1992
60,1571
70,1242
80,983.9
90,779.9
100,618.5
125,347
150,195
175,109.8
200,61.98
225,35.18
250,20.14
300,6.933
350,2.735
400,1.377
450,0.9177
500,0.7462
600,0.6247
700,0.5671
800,0.5248
900,0.4904
1000,0.4616
1250,0.407
1500,0.3699
1750,0.3442
2000,0.3261
2250,0.3132
2500,0.3037
3000,0.2911
4000,0.2768
5000,0.2672
6000,0.2592
7000,0.2519
8000,0.2452
9000,0.239
10000,0.2333
20000,0.1938
50000,0.1454
100000,0.1088
200000,0.06988
500000,0.02381
1000000,0.006398