Evaluation Group,Mass Renormalization Factor,Mass SNF+HLW (t/GWe-y),Activity of SNF+HLW at 100y (Ci/GWe-y),Activity of SNF+HLW at 1e5y (Ci/GWe-y)
EG01,1,21.92,1.34E+06,1.65E+03
EG02,1.52,9.22,1.43E+06,2.05E+03
EG03,1,147.57,1.34E+06,2.46E+03
EG04,1.21,3.99,8.05E+05,1.64E+03
EG05,1.52,11.41,1.39E+06,7.38E+03
EG06,1.46,9.86,1.77E+06,1.30E+04
EG07,1.34,31.97,1.78E+06,9.48E+03
EG08,1.43,1.62,9.09E+05,1.69E+03
EG09,1.21,2.24,8.82E+05,9.42E+02
EG10,1.35,10.84,1.42E+06,1.08E+04
EG11,1.21,4.54,1.02E+06,9.14E+03
EG12,1,7.27,1.40E+06,1.42E+03
EG13,1.01,3.42,1.33E+06,1.32E+03
EG14,1.14,8.34,1.14E+06,1.24E+03
EG15,1.02,2.11,1.24E+06,1.14E+03
EG16,1.02,1.52,1.26E+06,1.03E+03
EG17,1,3.37,1.33E+06,3.09E+03
EG18,1,6.95,1.45E+06,6.95E+03
EG19,1,2.59,1.14E+06,7.65E+02
EG20,1,2.61,1.05E+06,5.57E+02
EG21,1.01,1.46,1.14E+06,8.00E+02
EG22,1.01,1.39,9.94E+05,5.81E+02
EG23,1.21,1.31,1.03E+06,7.28E+02
EG24,1.21,1.34,1.04E+06,6.06E+02
EG25,1,1.51,1.30E+06,8.64E+02
EG26,1.35,1.25,1.30E+06,1.37E+03
EG27,1.21,2.25,1.30E+06,3.62E+03
EG28,1.21,1.58,1.18E+06,3.01E+03
EG29,1.12,1.45,1.13E+06,9.17E+02
EG30,1.18,1.3,9.54E+05,5.71E+02
EG31,1.06,1.37,1.18E+06,6.97E+02
EG32,1.07,1.32,1.08E+06,5.19E+02
EG33,1.2,1.59,1.22E+06,8.79E+02
EG34,1.19,1.5,1.07E+06,6.69E+02
EG35,1.04,1.42,1.20E+06,7.41E+02
EG36,1.02,1.39,1.02E+06,5.35E+02
EG37,1.09,1.33,1.12E+06,7.62E+02
EG38,1.18,1.79,1.27E+06,3.17E+03
EG39,1.02,1.4,1.30E+06,7.63E+02
EG40,1.06,1.47,1.49E+06,1.28E+03