name,coex
id,hlw
pkg_diameter,0.61
pkg_length,4.7
n_wf,1
5,14010
5.1,13730
5.5,12820
5.75,12330
6,11900
8,9677
10,8526
11.5,7951
15,7016
20,6085
23,5626
25,5348
30,4724
35,4185
40,3717
45,3308
50,2949
60,2358
70,1899
80,1541
90,1261
100,1041
125,673.4
150,468.3
175,351.8
200,283.9
225,242.9
250,217
300,186.9
350,168.8
400,155.1
450,143.5
500,133
600,114.6
700,99.04
800,85.78
900,74.48
1000,64.86
1250,46.56
1500,34.26
1750,25.97
2000,20.36
2250,16.55
2500,13.95
3000,10.9
4000,8.525
5000,7.616
6000,7.039
7000,6.561
8000,6.134
9000,5.745
10000,5.388
20000,3.073
50000,1.168
100000,0.693
200000,0.7041
500000,0.8732
1000000,0.8189