name,ecc
id,hlw
pkg_diameter,0.61
pkg_length,4.7
n_wf,1
5,2309
5.1,2297
5.5,2249
5.75,2221
6,2195
8,2021
10,1891
11.5,1810
15,1652
20,1464
23,1364
25,1302
30,1158
35,1031
40,917.3
45,816.3
50,726.4
60,575.3
70,455.6
80,360.8
90,285.7
100,226.3
125,126.3
150,70.5
175,39.36
200,21.97
225,12.27
250,6.85
300,2.137
350,0.6677
400,0.2094
450,0.06652
500,0.02193
600,0.003668
700,0.001888
800,0.001715
900,0.001698
1000,0.001696
1250,0.001696
1500,0.001696
1750,0.001695
2000,0.001695
2250,0.001695
2500,0.001695
3000,0.001695
4000,0.001694
5000,0.001694
6000,0.001693
7000,0.001693
8000,0.001692
9000,0.001692
10000,0.001691
20000,0.001686
50000,0.001672
100000,0.001648
200000,0.0016
500000,0.001467
1000000,0.001269