isotope,ST1-discharged (g)
H1,5.01E-04
H2,1.02E-04
H3,8.83E-03
HE3,2.91E-03
HE4,6.50E-01
LI6,7.09E-13
LI7,9.77E-14
BE9,8.04E-08
BE10,1.08E-06
B10,2.50E-12
B11,4.75E-10
C12,5.75E-03
C13,1.15E+00
C14,3.18E-05
N14,2.13E-07
N15,8.31E-04
O17,4.93E-02
O18,1.95E-07
F19,6.47E-14
NE20,9.63E-19
NE21,2.67E-19
NE22,8.61E-19
NA22,1.78E-24
NA23,4.17E-14
MG24,4.35E-14
MG25,4.53E-14
MG26,4.71E-14
AL26,1.33E-22
AL27,4.89E-14
SI28,5.08E-14
SI29,5.26E-14
SI30,5.44E-14
SI32,4.37E-22
P31,5.62E-14
P32,1.12E-25
S32,5.80E-14
S33,5.98E-14
S34,6.19E-14
S35,2.21E-23
S36,6.52E-14
CL35,5.86E-14
CL36,4.93E-15
CL37,6.75E-14
AR36,6.46E-14
AR37,1.54E-32
AR38,6.88E-14
AR39,6.91E-17
AR40,7.30E-14
AR42,4.04E-23
K39,7.04E-14
K40,6.84E-14
K41,7.81E-14
K42,1.73E-27
CA40,7.24E-14
CA41,5.55E-17
CA42,7.63E-14
CA43,7.64E-14
CA44,8.13E-14
CA45,3.58E-20
CA46,8.33E-14
CA48,8.68E-14
SC45,7.78E-14
SC45M,1.54E-32
SC46,4.88E-22
TI44,2.83E-32
TI46,8.73E-14
TI47,8.51E-14
TI48,8.61E-14
TI49,9.00E-14
TI50,9.09E-14
V49,2.88E-22
V50,5.67E-18
V51,2.66E-15
CR50,8.80E-14
CR52,9.41E-14
CR53,9.31E-14
CR54,1.01E-13
MN53,2.72E-20
MN54,1.39E-19
MN55,9.76E-14
FE54,9.75E-14
FE55,1.07E-16
FE56,1.06E-13
FE57,1.03E-13
FE58,2.75E-13
FE59,7.32E-29
FE60,2.72E-18
CO56,2.81E-32
CO57,4.57E-22
CO58,6.75E-24
CO59,1.39E-13
CO60,5.37E-15
CO60M,3.61E-29
NI58,1.04E-13
NI59,8.95E-14
NI60,1.29E-13
NI61,1.11E-13
NI62,1.10E-13
NI63,2.79E-15
NI64,1.16E-13
CU63,1.13E-13
CU65,4.70E-08
ZN64,3.81E-16
ZN65,1.37E-21
ZN66,1.53E-05
ZN67,4.62E-05
ZN68,8.76E-05
ZN70,3.84E-04
GA68,2.17E-27
GA69,1.70E-04
GA71,7.06E-04
GE68,1.25E-23
GE70,4.93E-07
GE72,1.97E-03
GE73,4.59E-03
GE73M,7.06E-24
GE74,1.19E-02
GE76,7.45E-02
AS75,2.94E-02
SE74,2.40E-08
SE75,3.13E-14
SE76,2.87E-04
SE77,1.81E-01
SE78,5.10E-01
SE79,1.07E+00
SE80,2.92E+00
SE82,7.49E+00
BR79,6.22E-04
BR81,4.95E+00
KR78,1.39E-13
KR80,2.69E-05
KR81,2.68E-06
KR82,3.92E-02
KR83,9.73E+00
KR83M,7.65E-17
KR84,2.33E+01
KR85,4.39E+00
KR86,4.10E+01
RB83,1.16E-13
RB84,3.08E-23
RB85,2.26E+01
RB86,1.65E-32
RB87,5.41E+01
SR84,2.09E-07
SR85,1.76E-16
SR86,2.68E-02
SR87,3.80E-04
SR88,7.33E+01
SR89,3.46E-10
SR90,1.07E+02
Y88,5.61E-11
Y89,9.88E+01
Y89M,1.20E-19
Y90,2.72E-02
Y91,1.62E-08
ZR88,7.27E-18
ZR90,1.48E+01
ZR91,1.30E+02
ZR92,1.42E+02
ZR93,1.59E+02
ZR94,1.69E+02
ZR95,1.63E-07
ZR96,1.80E+02
NB91,9.28E-10
NB91M,2.50E-24
NB92,8.29E-08
NB93,5.46E-05
NB93M,3.35E-04
NB94,2.49E-04
NB95,2.03E-07
NB95M,1.05E-10
MO92,1.69E-13
MO93,2.01E-09
MO94,1.08E-04
MO95,1.76E+02
MO96,1.46E+00
MO97,1.84E+02
MO98,1.86E+02
MO100,2.12E+02
TC95,5.56E-28
TC95M,1.03E-24
TC97,2.00E-07
TC97M,4.34E-14
TC98,2.02E-04
TC99,1.98E+02
RU96,1.74E-13
RU98,2.05E-08
RU99,1.00E-02
RU100,6.64E+00
RU101,1.83E+02
RU102,1.74E+02
RU103,4.29E-13
RU104,1.29E+02
RU106,2.10E+00
RH101,1.66E-09
RH102,7.93E-08
RH102M,9.36E-06
RH103,1.46E+02
RH103M,4.21E-16
RH106,1.97E-06
PD102,9.03E-06
PD104,1.64E+01
PD105,8.09E+01
PD106,9.71E+01
PD107,5.39E+01
PD108,3.46E+01
PD110,1.10E+01
AG105,1.91E-28
AG107,3.01E-05
AG108,5.30E-15
AG108M,5.89E-06
AG109,2.18E+01
AG109M,3.77E-14
AG110,9.00E-12
AG110M,5.80E-04
CD106,1.92E-13
CD108,9.27E-06
CD109,3.79E-08
CD110,2.44E+00
CD111,5.26E+00
CD112,2.65E+00
CD113,3.54E-02
CD113M,3.47E-04
CD114,3.19E+00
CD115M,9.22E-15
CD116,1.24E+00
IN113,1.05E-04
IN113M,1.97E-20
IN114,4.09E-23
IN114M,2.52E-18
IN115,8.22E-01
IN115M,4.11E-21
SN112,2.65E-12
SN113,3.29E-17
SN114,9.95E-07
SN115,5.29E-02
SN116,1.72E-01
SN117,1.14E+00
SN118,9.88E-01
SN119,9.93E-01
SN119M,3.54E-04
SN120,9.86E-01
SN121,4.42E-06
SN121M,8.11E-02
SN122,1.30E+00
SN123,7.06E-06
SN124,2.15E+00
SN126,4.86E+00
SB121,1.03E+00
SB123,1.32E+00
SB124,4.00E-12
SB125,7.69E-01
SB126,1.00E-07
SB126M,7.70E-10
TE120,4.02E-11
TE121,2.00E-13
TE121M,1.71E-12
TE122,1.26E-02
TE123,5.69E-05
TE123M,4.67E-10
TE124,1.12E-02
TE125,2.11E+00
TE125M,1.07E-02
TE126,1.21E-01
TE127,1.19E-08
TE127M,3.41E-06
TE128,2.26E+01
TE129,3.63E-20
TE129M,4.00E-17
TE130,8.87E+01
I125,3.55E-19
I127,1.12E+01
I129,3.53E+01
XE124,1.32E-13
XE126,2.11E-06
XE127,2.21E-23
XE128,1.20E-01
XE129,4.17E-04
XE130,1.01E+00
XE131,1.26E+02
XE132,2.24E+02
XE134,3.44E+02
XE136,5.88E+02
CS133,2.83E+02
CS134,1.84E+00
CS135,2.24E+01
CS137,2.51E+02
BA130,2.27E-13
BA132,4.37E-06
BA133,1.41E-07
BA134,8.70E+00
BA135,1.20E-03
BA136,2.06E+00
BA137,3.28E+01
BA137M,3.83E-05
BA138,2.92E+02
LA137,4.79E-05
LA138,2.01E-03
LA139,2.74E+02
CE136,2.42E-13
CE138,2.22E-07
CE139,1.50E-08
CE140,2.70E+02
CE141,6.13E-16
CE142,2.54E+02
CE144,1.99E+00
PR141,2.52E+02
PR144,8.37E-05
PR144M,3.33E-07
ND142,2.02E+00
ND143,1.91E+02
ND144,2.77E+02
ND145,1.59E+02
ND146,1.44E+02
ND148,8.69E+01
ND150,4.01E+01
PM143,6.48E-17
PM144,5.56E-13
PM145,6.18E-07
PM146,1.20E-05
PM147,2.05E+01
PM148,8.48E-17
PM148M,1.35E-14
SM144,2.78E-13
SM145,7.25E-11
SM146,2.03E-05
SM147,6.19E+01
SM148,9.06E+00
SM149,1.46E+00
SM150,5.89E+01
SM151,2.19E+00
SM152,3.98E+01
SM154,8.41E+00
EU149,2.14E-18
EU151,8.67E-02
EU152,2.84E-04
EU153,1.96E+01
EU154,1.48E+00
EU155,7.08E-01
GD151,2.79E-14
GD152,9.14E-04
GD153,2.45E-07
GD154,7.73E-01
GD155,7.62E-01
GD156,9.74E+00
GD157,2.40E-02
GD158,3.46E+00
GD160,2.42E-01
TB157,8.72E-08
TB158,1.99E-06
TB159,5.23E-01
TB160,2.29E-10
DY156,2.44E-13
DY158,6.89E-09
DY159,2.27E-13
DY160,1.53E-02
DY161,8.33E-02
DY162,7.13E-02
DY163,3.07E-02
DY164,4.03E-03
HO163,2.08E-08
HO165,1.09E-02
HO166M,7.61E-06
ER162,2.76E-13
ER164,6.76E-08
ER166,2.45E-03
ER167,3.12E-04
ER168,5.54E-04
ER170,5.36E-05
TM168,1.87E-16
TM169,1.06E-04
TM170,5.62E-10
TM171,3.88E-06
YB168,1.90E-14
YB169,9.76E-30
YB170,1.48E-05
YB171,2.23E-05
YB172,3.97E-05
YB173,9.09E-19
YB174,1.61E-18
YB176,2.38E-17
LU172,2.16E-26
LU172M,8.28E-30
LU173,6.49E-20
LU174,8.35E-19
LU174M,6.22E-23
LU175,4.66E-13
LU176,1.34E-15
LU177,4.77E-22
LU177M,5.15E-20
HF172,2.20E-24
HF174,1.22E-13
HF175,8.47E-22
HF176,3.32E-13
HF177,1.90E-13
HF177M,3.19E-27
HF178,6.07E-13
HF179,4.44E-13
HF180,3.64E-13
HF181,2.64E-28
HF182,2.54E-16
TA179,8.86E-22
TA180M,2.78E-18
TA181,3.03E-13
TA182,1.33E-20
W180,2.19E-19
W181,2.71E-23
W182,3.14E-13
W183,6.76E-13
W184,3.69E-13
W185,3.86E-23
W186,3.09E-13
W188,3.39E-25
RE183,1.17E-29
RE184,2.51E-24
RE184M,1.27E-23
RE185,2.28E-13
RE186,7.31E-24
RE186M,1.44E-16
RE187,3.21E-13
RE188,3.48E-27
OS184,2.77E-23
OS185,1.85E-25
OS186,9.29E-14
OS187,6.72E-15
OS188,5.61E-14
OS189,7.02E-16
OS190,3.04E-17
OS192,4.98E-15
OS194,3.13E-21
IR191,4.51E-14
IR192,6.33E-22
IR193,4.06E-13
IR194,1.15E-24
PT190,1.59E-22
PT192,9.56E-14
PT193,1.66E-15
PT194,1.43E-13
PT195,2.80E-16
PT196,1.05E-17
PT198,1.19E-22
AU194,3.24E-28
AU195,1.12E-22
AU197,5.38E-13
HG194,3.32E-23
HG196,2.63E-15
HG198,4.34E-13
HG199,3.92E-14
HG200,7.84E-13
HG201,3.62E-13
HG202,3.68E-13
HG203,1.53E-27
HG204,3.69E-13
HG206,1.80E-25
TL203,3.37E-15
TL204,9.96E-18
TL205,5.29E-16
TL206,6.42E-24
TL207,4.59E-16
TL208,2.68E-13
TL209,5.11E-20
TL210,5.17E-21
PB202,1.72E-28
PB204,3.69E-13
PB205,5.52E-16
PB206,9.38E-13
PB207,7.75E-11
PB208,2.10E-07
PB209,2.06E-16
PB210,1.36E-11
PB211,3.55E-15
PB212,1.59E-10
PB214,5.17E-16
BI207,3.53E-21
BI208,6.67E-18
BI209,2.33E-12
BI210,8.39E-15
BI210M,3.03E-17
BI211,2.11E-16
BI212,1.50E-11
BI213,4.90E-17
BI214,3.84E-16
PO208,5.96E-24
PO209,2.84E-20
PO210,1.80E-13
PO211,2.34E-21
PO212,2.65E-18
PO213,1.75E-23
PO214,3.22E-22
PO215,2.98E-21
PO216,6.12E-16
PO218,6.09E-17
AT217,5.90E-22
AT218,9.83E-23
RN217,1.28E-27
RN218,2.29E-27
RN219,6.74E-18
RN220,2.39E-13
RN222,1.10E-13
FR221,5.47E-18
FR223,3.15E-17
RA223,1.71E-12
RA224,1.38E-09
RA225,2.44E-14
RA226,1.72E-08
RA228,1.55E-13
AC225,1.64E-14
AC227,1.21E-09
AC228,1.90E-17
TH227,2.81E-12
TH228,2.68E-07
TH229,4.46E-09
TH230,6.72E-04
TH231,9.04E-09
TH232,8.51E-04
TH234,1.43E-05
PA231,1.76E-05
PA232,1.83E-16
PA233,1.04E-06
PA234,2.65E-10
PA234M,4.78E-10
U232,1.50E-05
U233,1.75E-04
U234,4.29E+01
U235,2.22E+03
U236,7.65E+02
U237,5.20E-06
U238,9.85E+05
U240,1.56E-14
NP235,2.31E-09
NP236,3.94E-06
NP237,3.08E+01
NP238,2.27E-09
NP239,2.35E-06
NP240,1.37E-18
NP240M,1.33E-16
PU236,5.70E-06
PU237,4.46E-18
PU238,3.86E+00
PU239,2.57E+03
PU240,1.01E+03
PU241,1.67E+02
PU242,5.90E+01
PU243,1.14E-17
PU244,7.99E-04
PU246,2.43E-19
AM241,4.72E+01
AM242,1.58E-07
AM242M,1.23E-02
AM243,2.73E+00
AM244,1.43E-22
AM245,9.61E-22
AM246M,3.89E-22
CM240,9.60E-32
CM241,1.34E-25
CM242,2.09E-04
CM243,2.70E-03
CM244,1.61E-01
CM245,1.94E-03
CM246,1.67E-04
CM247,3.20E-07
CM248,6.23E-09
CM250,3.83E-13
BK247,3.55E-20
BK248,1.13E-18
BK249,2.52E-13
BK250,4.04E-20
CF248,3.49E-20
CF249,1.33E-11
CF250,3.28E-12
CF251,7.52E-13
CF252,3.88E-13
CF254,2.91E-23
ES252,1.23E-22
ES254,8.18E-17